,n_neighbors,score
0,1,9.318378416378621
1,2,4.2920689969941614
2,3,2.8143064973392846
3,4,2.1388165136253487
4,5,1.748285759787391
5,6,1.3441029721498623
6,7,1.0799356304024748
7,8,1.0357564357884272
8,9,0.9922352848747898
9,10,0.945751400618239
10,11,0.8604246817027309
11,12,0.8625076285851513
12,13,0.8588252987580547
13,14,0.772535301231164
14,15,0.685672223389029
15,16,0.6842900825370272
16,17,0.686503991819297
17,18,0.6442895491232558
18,19,0.6454038369543539
19,20,0.6032955597868014
20,21,0.6026569517798425
21,22,0.6051199590763576
22,23,0.6072110704413111
23,24,0.5624760110534244
