,eta,max_depth,n_estimators,reg_alpha,score
0,1.3831,22,133,0.64855,65.59515796374272
1,0.8458000000000001,6,80,0.8218,62.39241168944213
2,0.22890000000000002,1,67,0.5049999999999999,142.38041952239163
3,1.37315,4,35,0.33175,74.41283971537312
4,0.85575,24,91,0.36639999999999995,64.58760996697664
5,1.2736500000000002,14,241,0.5148999999999999,64.54705341278151
6,1.6816000000000002,18,21,0.31195,159.5796074239649
7,1.403,20,63,0.9653499999999999,63.30271190247404
8,1.9204,33,73,0.703,66.76175178469946
9,1.5721500000000002,26,37,0.6634,73.04380372606742
10,1.2836,2,116,0.34659999999999996,
11,0.806,30,185,0.1783,
12,1.81095,23,130,0.8713,
13,1.3035,9,38,0.9455499999999999,
14,1.8408,8,125,0.6336999999999999,
15,1.7413,5,224,0.69805,
16,0.21895000000000003,17,227,0.6188499999999999,
17,0.9950500000000001,16,78,0.6930999999999999,
18,0.8856,29,76,0.80695,
19,0.2886,7,1,0.45549999999999996,
20,1.6418000000000001,32,19,0.6732999999999999,
21,0.5871000000000001,10,112,0.7871499999999999,
22,0.1095,13,49,0.3862,
23,1.8607,3,121,0.76735,
24,1.1045,27,74,0.9208,
25,0.12940000000000002,22,54,0.9504999999999999,
26,0.20900000000000002,6,190,0.7920999999999999,
27,0.26870000000000005,1,140,0.47035,
28,1.2239,4,196,0.8316999999999999,
29,1.5025000000000002,24,119,0.36145,
30,1.65175,14,181,0.27235,
31,0.16920000000000002,18,233,0.5693499999999999,
32,1.29355,20,57,0.87625,
33,0.37815000000000004,33,202,0.18819999999999998,
34,0.57715,26,100,0.6139,
35,1.8806,2,247,0.29214999999999997,
36,0.61695,30,84,0.4654,
37,1.1443,23,232,0.2773,
38,0.34830000000000005,9,168,0.4357,
39,1.0050000000000001,8,12,0.3268,
40,1.8209000000000002,5,42,0.06445,
41,1.67165,17,214,0.8415999999999999,
42,0.8159500000000001,16,169,0.7425999999999999,
43,0.95525,29,55,0.06939999999999999,
44,1.602,7,23,0.37134999999999996,
45,1.79105,32,17,0.7723,
46,1.204,10,66,0.6287499999999999,
47,0.5672,13,147,0.6881499999999999,
48,0.07965,3,197,0.2476,
49,0.40800000000000003,27,118,0.44065,
50,1.33335,22,104,0.8019999999999999,
51,1.8706500000000001,6,209,0.24264999999999998,
52,0.29855000000000004,1,229,0.25749999999999995,
53,1.93035,4,27,0.01495,
54,0.27865,24,149,0.5099499999999999,
55,1.6219000000000001,14,171,0.40104999999999996,
56,1.7214,18,48,0.19315,
57,0.6567500000000001,20,213,0.5545,
58,1.31345,33,249,0.8910999999999999,
59,0.63685,26,139,0.5000499999999999,
60,1.4826000000000001,2,92,0.13374999999999998,
61,1.99005,30,199,0.55945,
62,1.4627000000000001,23,172,0.12384999999999999,
63,1.7015,9,212,0.7970499999999999,
64,0.24880000000000002,8,25,0.5841999999999999,
65,1.77115,5,87,0.40599999999999997,
66,0.8259000000000001,17,50,0.8366499999999999,
67,0.23885,16,45,0.34164999999999995,
68,0.79605,29,162,0.5247999999999999,
69,0.47765,7,222,0.2971,
70,0.41795000000000004,32,90,0.604,
71,0.9453,10,215,0.5347,
72,0.3085,13,151,0.26244999999999996,
73,0.5174500000000001,3,33,0.14365,
74,0.6866000000000001,27,15,0.92575,
75,1.0945500000000001,22,59,0.9802,
76,1.05475,6,218,0.1387,
77,0.8955500000000001,1,31,0.8613999999999999,
78,1.8010000000000002,4,22,0.7277499999999999,
79,1.7114500000000001,24,148,0.8812,
80,0.3682,14,102,0.20304999999999998,
81,0.09955,18,132,0.1981,
82,0.8657,20,101,0.26739999999999997,
83,0.6766500000000001,33,155,0.37629999999999997,
84,0.9154500000000001,26,142,0.10899999999999999,
85,0.5075000000000001,2,58,0.97525,
86,1.69155,30,69,0.4456,
87,0.7363500000000001,23,47,0.3367,
88,0.35825,9,53,0.9356499999999999,
89,0.49755000000000005,8,106,0.7525,
90,1.61195,5,228,0.5644,
91,0.19905,17,136,0.7376499999999999,
92,1.8905500000000002,16,131,0.48519999999999996,
93,0.43785,29,56,0.4159,
94,0.01,7,183,0.8960499999999999,
95,0.31845,32,3,0.9059499999999999,
96,0.9851000000000001,10,231,0.0793,
97,1.7612,13,36,0.5792499999999999,
98,0.15925,3,8,0.8119,
99,0.14930000000000002,27,68,0.0496,
100,1.17415,22,146,0.28225,
101,1.13435,6,193,0.0199,
102,0.7463000000000001,1,83,0.2278,
103,1.9801000000000002,4,137,0.30205,
104,1.3433000000000002,24,115,0.1684,
105,0.039850000000000003,14,32,0.81685,
106,0.9254,18,93,0.45054999999999995,
107,1.21395,20,89,0.32184999999999997,
108,0.53735,33,192,0.71785,
109,1.3234000000000001,26,71,0.98515,
110,1.5920500000000002,2,178,0.59905,
111,0.607,30,223,0.9108999999999999,
112,1.2537500000000001,23,156,0.70795,
113,0.7562500000000001,9,110,0.01,
114,0.029900000000000003,8,7,0.39115,
115,0.11945,5,240,0.17335,
116,1.03485,17,30,0.42084999999999995,
117,0.7065,16,217,0.034749999999999996,
118,1.4229,29,238,0.7821999999999999,
119,1.97015,7,208,0.21295,
120,0.9652000000000001,32,51,0.43074999999999997,
121,1.5224,10,5,0.7227999999999999,
122,0.45775000000000005,13,204,0.307,
123,0.87565,3,207,0.6535,
124,0.0697,27,138,0.9158499999999999,
125,1.9104500000000002,22,198,0.9405999999999999,
126,0.3284,6,62,0.23274999999999998,
127,1.5423,1,211,0.53965,
128,1.63185,4,28,0.1585,
129,1.01495,24,46,0.15355,
130,1.53235,14,176,0.6237999999999999,
131,1.6617000000000002,18,98,0.9900999999999999,
132,1.45275,20,243,0.10404999999999999,
133,1.3632000000000002,33,94,0.41095,
134,1.1642000000000001,26,11,0.5446,
135,1.9403000000000001,2,242,0.21789999999999998,
136,1.49255,30,152,0.09414999999999998,
137,1.2438,23,14,0.49015,
138,0.059750000000000004,9,85,0.16344999999999998,
139,0.5970500000000001,8,39,0.38125,
140,1.5522500000000001,5,220,0.5198499999999999,
141,1.83085,17,70,0.7772499999999999,
142,0.049800000000000004,16,187,0.7624,
143,0.18910000000000002,29,143,0.6782499999999999,
144,1.9005,7,195,0.58915,
145,0.25875000000000004,32,64,0.07434999999999999,
146,1.15425,10,65,0.35155,
147,0.6269,13,77,0.18325,
148,1.5821,3,206,0.75745,
149,1.9602000000000002,27,13,0.4951,
150,0.39805,22,34,0.25255,
151,1.7512500000000002,6,2,0.0595,
152,1.3930500000000001,1,120,0.39609999999999995,
153,1.51245,4,111,0.5941,
154,1.2637,24,201,0.208,
155,0.48760000000000003,14,244,0.2377,
156,0.77615,18,180,0.9603999999999999,
157,0.7264,20,75,0.48024999999999995,
158,0.0896,33,245,0.0397,
159,1.19405,26,166,0.65845,
160,0.9055000000000001,2,230,0.6436,
161,0.6468,30,163,0.66835,
162,0.55725,23,4,0.054549999999999994,
163,0.019950000000000002,9,205,0.8861499999999999,
164,1.7811000000000001,8,109,0.60895,
165,1.4129500000000002,5,188,0.08424999999999999,
166,1.1244,17,141,0.1486,
167,1.0249000000000001,16,72,0.7326999999999999,
168,1.0846,29,52,0.0298,
169,0.33835000000000004,7,82,0.024849999999999997,
170,1.7313500000000002,32,219,0.7475499999999999,
171,1.1841000000000002,10,24,0.5297499999999999,
172,1.1144500000000002,13,41,0.86635,
173,1.0647,3,96,0.9554499999999999,
174,0.7861,27,16,0.8465499999999999,
175,1.07465,22,123,0.1288,
176,1.5622,6,129,0.3565,
177,0.5274000000000001,1,153,0.11394999999999998,
178,0.93535,4,134,0.11889999999999999,
179,0.7662,24,127,0.9009999999999999,
180,1.0448000000000002,14,248,0.9307,
181,1.47265,18,154,0.82675,
182,1.4428,20,103,0.5742999999999999,
183,0.6667000000000001,33,246,0.6831999999999999,
184,0.5473,26,128,0.6386499999999999,
185,1.8507500000000001,2,150,0.09909999999999998,
186,0.8358500000000001,30,43,0.47529999999999994,
187,1.4328500000000002,23,105,0.9702999999999999,
188,0.9751500000000001,9,29,0.22285,
189,0.69655,8,164,0.8564499999999999,
190,1.2338500000000001,5,99,0.9950499999999999,
191,2.0,17,216,0.08919999999999999,
192,1.95025,16,61,0.31689999999999996,
193,0.44780000000000003,29,26,0.8514999999999999,
194,0.13935000000000003,7,182,0.04465,
195,0.42790000000000006,32,114,0.7129,
196,0.17915000000000003,10,108,0.42579999999999996,
197,1.35325,13,161,0.54955,
198,0.4677,3,221,0.46044999999999997,
199,0.71645,27,6,1.0,
