,eta,max_depth,n_estimators,reg_alpha,score
0,0.039850000000000003,30,221,0.0298,40.71396862820402
1,0.6468,23,219,0.7475499999999999,41.59787366269882
2,0.48760000000000003,27,54,0.42579999999999996,39.6653586393499
3,0.55725,3,85,0.6930999999999999,34.9593978096148
4,1.4328500000000002,10,172,0.10404999999999999,41.09740322942097
5,1.2736500000000002,11,175,0.75745,41.443707723479015
6,0.57715,9,149,0.25255,40.351406129778226
7,0.049800000000000004,28,96,0.14365,40.76113628361556
8,0.41795000000000004,26,184,0.1486,41.30458448905885
9,0.47765,33,63,0.9802,39.177269038284535
10,0.09955,1,182,0.5841999999999999,
11,0.7264,21,22,0.18819999999999998,
12,0.13935000000000003,15,29,0.4159,
13,1.9602000000000002,19,80,0.40104999999999996,
14,0.6269,31,171,0.06939999999999999,
15,1.5821,20,220,0.0397,
16,0.5672,16,185,0.5545,
17,1.13435,32,31,0.0199,
18,1.403,17,222,0.8812,
19,1.7015,5,234,0.26739999999999997,
20,1.29355,2,82,0.1981,
21,0.20900000000000002,29,7,0.41095,
22,0.9154500000000001,6,211,0.92575,
23,0.5473,24,245,0.48024999999999995,
24,0.34830000000000005,13,53,0.9208,
25,0.18910000000000002,30,113,0.55945,
26,1.3632000000000002,23,246,0.38125,
27,0.24880000000000002,27,196,0.6535,
28,1.81095,3,190,0.34164999999999995,
29,0.39805,10,36,0.48519999999999996,
30,0.607,11,153,0.8119,
31,1.05475,9,142,0.9603999999999999,
32,0.019950000000000002,28,20,0.29214999999999997,
33,0.8458000000000001,26,130,0.8019999999999999,
34,1.53235,33,207,0.54955,
35,0.31845,1,180,0.6386499999999999,
36,1.2239,21,107,0.82675,
37,1.77115,15,86,0.5148999999999999,
38,1.8607,19,156,0.6336999999999999,
39,1.3234000000000001,31,160,0.9059499999999999,
40,1.01495,20,201,0.45054999999999995,
41,0.87565,16,43,0.9455499999999999,
42,1.07465,32,12,0.12384999999999999,
43,1.31345,17,39,0.307,
44,0.2886,5,243,0.47529999999999994,
45,0.9751500000000001,2,134,0.9950499999999999,
46,1.67165,29,168,0.8316999999999999,
47,1.5522500000000001,6,10,0.7821999999999999,
48,1.0249000000000001,24,110,0.6881499999999999,
49,0.3085,13,135,0.01495,
50,1.3930500000000001,30,98,0.5644,
51,0.9652000000000001,23,42,0.24264999999999998,
52,1.63185,27,48,0.23274999999999998,
53,0.9851000000000001,3,238,0.1387,
54,1.7612,10,9,0.5198499999999999,
55,1.4627000000000001,11,235,0.69805,
56,1.79105,9,218,0.4456,
57,1.8806,28,191,0.31689999999999996,
58,1.99005,26,179,0.58915,
59,1.8507500000000001,33,55,0.31195,
60,0.5274000000000001,1,188,0.7326999999999999,
61,0.0697,21,227,0.5049999999999999,
62,0.22890000000000002,15,83,0.32184999999999997,
63,1.0647,19,162,0.0793,
64,2.0,31,140,1.0,
65,1.61195,20,65,0.15355,
66,1.4428,16,123,0.59905,
67,0.029900000000000003,32,56,0.71785,
68,1.204,17,27,0.9900999999999999,
69,1.8209000000000002,5,13,0.37629999999999997,
70,1.2537500000000001,2,88,0.6188499999999999,
71,0.9453,29,187,0.39609999999999995,
72,1.0448000000000002,6,137,0.87625,
73,0.3284,24,157,0.8465499999999999,
74,1.1144500000000002,13,62,0.53965,
75,0.5075000000000001,30,231,0.28225,
76,1.0846,23,91,0.9307,
77,1.35325,27,203,0.07434999999999999,
78,1.3433000000000002,3,38,0.09909999999999998,
79,0.8955500000000001,10,52,0.27235,
80,1.7214,11,126,0.4357,
81,0.35825,9,33,0.9158499999999999,
82,1.9403000000000001,28,217,0.17335,
83,1.4826000000000001,26,95,0.703,
84,1.8706500000000001,33,177,0.7723,
85,1.5721500000000002,1,200,0.054549999999999994,
86,0.6866000000000001,21,144,0.1585,
87,1.1244,15,49,0.36145,
88,1.51245,19,125,0.20304999999999998,
89,0.16920000000000002,31,204,0.8564499999999999,
90,1.6816000000000002,20,61,0.21295,
91,0.63685,16,102,0.22285,
92,0.33835000000000004,32,25,0.7376499999999999,
93,1.7313500000000002,17,236,0.66835,
94,0.7463000000000001,5,166,0.37134999999999996,
95,0.45775000000000005,2,23,0.10899999999999999,
96,1.37315,29,8,0.3367,
97,0.01,6,225,0.9653499999999999,
98,1.7114500000000001,24,74,0.18325,
99,1.602,13,194,0.8713,
100,1.1045,30,169,0.81685,
101,1.5025000000000002,23,138,0.8861499999999999,
102,0.40800000000000003,27,237,0.3862,
103,1.69155,3,151,0.0496,
104,0.1095,10,51,0.9108999999999999,
105,0.0896,11,71,0.5000499999999999,
106,1.6219000000000001,9,224,0.1288,
107,1.4129500000000002,28,40,0.33175,
108,0.8657,26,202,0.2278,
109,0.059750000000000004,33,15,0.0595,
110,0.9950500000000001,1,230,0.5941,
111,1.6418000000000001,21,118,0.9554499999999999,
112,1.45275,15,93,0.9702999999999999,
113,0.806,19,152,0.9504999999999999,
114,1.9204,31,84,0.97525,
115,1.19405,20,79,0.9356499999999999,
116,0.19905,16,46,0.6436,
117,0.17915000000000003,32,99,0.35155,
118,0.85575,17,21,0.4654,
119,1.1642000000000001,5,26,0.6732999999999999,
120,1.9104500000000002,2,60,0.45549999999999996,
121,0.8358500000000001,29,117,0.8910999999999999,
122,0.26870000000000005,6,105,0.21789999999999998,
123,0.6766500000000001,24,167,0.39115,
124,1.4229,13,16,0.5693499999999999,
125,1.33335,30,78,0.19315,
126,1.65175,23,90,0.2476,
127,1.8408,27,148,0.8514999999999999,
128,0.71645,3,66,0.5446,
129,0.61695,10,35,0.65845,
130,0.15925,11,129,0.208,
131,1.7413,9,228,0.6831999999999999,
132,1.0945500000000001,28,45,0.9009999999999999,
133,1.9801000000000002,26,206,0.70795,
134,1.15425,33,154,0.04465,
