,eta,max_depth,n_estimators,reg_alpha,score
0,1.47265,31,136,0.82675,373.7713625199849
1,1.37315,26,113,0.7871499999999999,366.58863784663345
2,1.4627000000000001,11,33,0.01495,369.7483636469265
3,1.7114500000000001,43,54,0.18819999999999998,367.1352507583602
4,0.8856,34,220,0.9356499999999999,
5,1.9602000000000002,56,73,0.23274999999999998,
6,2.0,32,2,0.09909999999999998,
7,0.63685,5,200,0.37629999999999997,
8,1.7015,55,111,0.8861499999999999,
9,0.0697,50,80,0.32184999999999997,
10,1.63185,59,11,0.2872,
11,1.51245,40,206,0.6831999999999999,
12,0.44780000000000003,15,190,0.7425999999999999,
13,1.0050000000000001,2,170,0.21295,
14,1.9801000000000002,58,88,0.3862,
15,1.53235,16,209,0.7277499999999999,
16,0.85575,46,185,0.5297499999999999,
17,0.01,36,210,0.34164999999999995,
18,0.61695,41,64,0.19315,
19,1.0249000000000001,23,235,0.8218,
20,0.9751500000000001,42,216,0.2377,
21,0.7463000000000001,3,14,0.3268,
22,0.6766500000000001,39,160,0.46044999999999997,
23,0.12940000000000002,30,227,0.44065,
24,1.0647,12,24,0.5693499999999999,
25,1.9005,24,208,0.40599999999999997,
26,0.42790000000000006,51,223,0.49015,
27,0.57715,14,234,0.6386499999999999,
28,1.2836,49,112,0.24264999999999998,
29,0.53735,47,76,0.38125,
30,1.29355,8,7,0.7723,
31,0.5672,1,84,0.4951,
32,0.9254,4,130,0.25255,
33,1.19405,6,109,0.9702999999999999,
34,0.27865,10,67,0.58915,
35,0.5871000000000001,53,248,0.40104999999999996,
36,1.4328500000000002,21,106,0.76735,
37,1.7313500000000002,20,74,0.6881499999999999,
38,0.35825,18,45,0.5446,
39,0.6567500000000001,33,68,0.6436,
40,0.6468,17,86,0.024849999999999997,
41,0.48760000000000003,28,65,0.9603999999999999,
42,1.3433000000000002,48,70,0.2971,
43,1.6617000000000002,25,232,0.06445,
44,1.7612,52,3,0.18325,
45,1.0846,22,53,0.43074999999999997,
46,0.7662,9,12,0.1783,
47,0.8458000000000001,35,165,0.6336999999999999,
48,1.0945500000000001,37,120,0.48519999999999996,
49,0.3881,7,132,0.0595,
50,1.05475,31,40,0.36639999999999995,
51,1.15425,26,182,0.53965,
52,1.21395,11,35,0.1387,
53,1.8507500000000001,43,110,0.0397,
